version_id,effective_from,service,award,employment_type,classification,classification_order,rate_band,rate_band_order,rate
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Casual,Level 3,3,SAT_FLAT,4,49.21
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Casual,Level 3,3,SUN_FLAT,5,63.27
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Casual,Level 3,3,WKDAY_DAY,1,35.15
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Casual,Level 3,3,WKDAY_EMAFT,2,39.37
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Casual,Level 3,3,WKDAY_PERM_NIGHT,3,43.59
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Full Time,Level 1,1,PH_FLAT,6,64.63
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Full Time,Level 1,1,SAT_FLAT,4,38.78
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Full Time,Level 1,1,SUN_FLAT,5,51.7
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Full Time,Level 1,1,WKDAY_DAY,1,25.85
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Full Time,Level 1,1,WKDAY_PENALTY,2,29.73
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Full Time,Level 1,1,WKDAY_PERM_NIGHT,3,33.61
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Full Time,Level 2,2,PH_FLAT,6,66.76
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Full Time,Level 2,2,SAT_FLAT,4,40.05
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Full Time,Level 2,2,SUN_FLAT,5,53.4
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Full Time,Level 2,2,WKDAY_DAY,1,26.7
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Full Time,Level 2,2,WKDAY_PENALTY,2,30.71
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Full Time,Level 2,2,WKDAY_PERM_NIGHT,3,34.71
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Full Time,Level 3,3,PH_FLAT,6,70.3
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Full Time,Level 3,3,SAT_FLAT,4,42.18
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Full Time,Level 3,3,SUN_FLAT,5,56.24
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Full Time,Level 3,3,WKDAY_DAY,1,28.12
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Full Time,Level 3,3,WKDAY_PENALTY,2,32.34
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Full Time,Level 3,3,WKDAY_PERM_NIGHT,3,36.56
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Part Time,Level 1,1,PH_FLAT,6,68.5
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Part Time,Level 1,1,SAT_FLAT,4,42.65
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Part Time,Level 1,1,SUN_FLAT,5,55.58
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Part Time,Level 1,1,WKDAY_DAY,1,29.73
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Part Time,Level 1,1,WKDAY_PENALTY,2,33.61
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Part Time,Level 1,1,WKDAY_PERM_NIGHT,3,33.61
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Part Time,Level 2,2,PH_FLAT,6,70.76
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Part Time,Level 2,2,SAT_FLAT,4,44.06
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Part Time,Level 2,2,SUN_FLAT,5,57.41
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Part Time,Level 2,2,WKDAY_DAY,1,30.71
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Part Time,Level 2,2,WKDAY_PENALTY,2,34.71
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Part Time,Level 2,2,WKDAY_PERM_NIGHT,3,34.71
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Part Time,Level 3,3,PH_FLAT,6,74.52
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Part Time,Level 3,3,SAT_FLAT,4,46.4
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Part Time,Level 3,3,SUN_FLAT,5,60.46
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Part Time,Level 3,3,WKDAY_DAY,1,32.34
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Part Time,Level 3,3,WKDAY_PENALTY,2,36.56
CLN_2025_JUL,01-07-2025,Cleaning,Cleaning Services Award,Part Time,Level 3,3,WKDAY_PERM_NIGHT,3,36.56
